Arabic,English
الرائع,Wonderful
تضع,Put
الأسلحة,weapons
خط,line
الدفاع,Defense
حالما,once
بالإضافة,In addition
بعضهم,Some of them
أبقى,Stay
بأمان,Safely
أثق,I trust
تظنين,You think
التاريخ,the date
التالية,Next
تسير,Going
الأولاد,boys
مساعدتي,Help me
أمور,Things
شراب,drink
الألم,pain
بن,son
الأحيان,Sometimes
الشاحنة,truck
الكلمات,Words
التوقف,Stop
كنّا,We were
وداعا,Farewell
سابقاً,previously
اسمها,Her name
اهلا,Hello
دان,Dan
أدخل,Enter
والتر,Walter
امر,commander
اتمنى,I hope
ثمن,price
جاهزة,Ready
لشخص,For a person
تقولي,You say
جوني,Johnny
حضرة,presence
خذي,Take it
الكنيسة,Church
بناء,building
ستذهب,You will go
المفضل,the favorite
مشاهدة,to watch
اكن,I was
سيئ,bad
صفقة,deal
عمله,currency
ألديك,Do you have
القبيل,The tribe
واو,wow
بالرغم,Although
آي,any
أ,A
الصف,the line
عاهرة,whore
كلير,Claire
لكنهم,But they
الجلوس,sitting
السرعة,speed
بوبي,Bobby
الشراب,drink
موافقة,consent
الجميل,The beautiful
الفكرة,The idea
بالقرب,near
الشخصية,Character
القمر,the moon
آلاف,thousands
تتصل,Call
أتريدين,Do you want?
وكانت,And it was
كهذه,Like this
أربع,four
طائرة,airplane
الثانوية,High school
استمع,I listen
أَو,or
وكذلك,And also
مرتين,twice
ستكونين,You will be
سبعة,seven
جيري,Jerry
إتفقنا,We agreed
شارع,street
ميتة,dead
يرى,He sees
بقية,rest
بأنكِ,That you
أقدر,I can
يجعلني,Makes me
أراه,I see it
تعرفي,Get to know
زوج,husband
الزمن,time
سواء,whether
قتله,Kill him
موت,death
الدرجة,degree
لله,For God
انتهت,It's over
دخلت,I entered
للخروج,To go out
صنع,to make
أمل,hope
طبيعي,natural
كُل,all
ا,A
السلام,peace
أمّي,My mom
شيءٍ,something
شراء,buying
فرقة,band
السادة,Gentlemen
الترجمة,Translation
تدخل,to intervene
الكل,everyone
نصل,blade
ر,R
فندق,hotel
الصندوق,The Fund
شكل,appearance
منزلك,Your home
أقرب,closer
الحقيقية,The truth
الرئيسي,Main
زوجك,Your husband
طويلاً,long
أعمال,works
مشغول,busy
حامل,pregnant
يارفاق,you guys
تفعلينه,You do it
شك,doubt
التحكم,Control
طبعاً,naturally
ولهذا,That's why
سعيداً,happy
مناسب,appropriate
قاموا,They did
أبى,my dad
الشباب,youth
يمكنكم,You can
تقدم,progress
الأسود,Black
زمن,time
خير,goodness
تطلب,ask
يبدأ,It begins
باب,door
والدتي,My mother
صديقتي,my female friend
عائلتك,Your family
يومين,Two days
روز,Rose
كابتن,captain
سهل,easy
خطير,dangerous
بشأنه,About it
الرحيل,Departure
كارل,Karl
أتوقع,I expect
النجدة,Rescue
يبحث,Searching
يد,hand
غاضبة,angry
توماس,Thomas
يوما,One day
تعرفه,You know him
الافضل,The best
يقتل,kills
طول,length
إما,Either
وحدة,lonliness
سيارتي,My car
توني,Tony
دين,religion
أبدًا,never
المفتاح,key
الضغط,the pressure
أقوى,Stronger
موافق,OK
الرحلة,The journey
وجد,Found
تلعب,play
تمّ,It was completed
ببساطة,simply
إعتقدت,I believed
صباحاً,A.M
نوعا,Kind
قادر,able
طريقه,road
ذاهبة,Going
تكذب,You lie
دخل,income
كنتي,You were
أقدم,Oldest
مجلس,council
جيني,Jenny
لَمْ,did not
سوياً,together
الخطب,Sermons
توقفوا,Stop
لستِ,You are not
عطلة,vacation
نادي,club
حياتنا,Our life
للقيام,To do
مـا,What?
ماهي,What is it
مَع,with
عمي,my paternal uncle
بضع,A few
الإنتظار,Waiting
مجال,area
عميل,client
ترين,You see
منى,Mona
المسدس,The pistol
كايل,Kyle
ليلي,Lily
مدير,boss
لعين,damn
الشهر,month
للحظة,For a moment
قرأت,I read
داعي,A caller
إبن,son
الجو,the weather
محطة,station
افكر,I think
تأكيد,to be sure
سيأتي,will come
آن,that
الأبد,eternity
قيمة,value
بدا,It started
الأصدقاء,Friends
فتح,to open
وكأنه,As if
الزفاف,wedding
فمن,So who?
آخذ,take
لأحد,For anyone
قف,Stop
الطاولة,table
خطوة,step
تمانع,I object
بالأمس,Yesterday
وقعت,I signed
عقد,a contract
بإمكاننا,We can
والد,father
للهول,To the horror
ثمانية,eight
العظيم,The Great
السيدات,Ladies
قائد,leader
الحالي,present
يتوجب,It is necessary
شاب,young man
فيك,In you
تقرير,a report
سبيل,Way
الخوف,the fear
الموقع,the site
صحيحاً,right
الحدود,border
لوك,Luke
شخصا,person
النافذة,window
تنتظر,Waiting
كيم,Kim
اقصد,I mean
أفترض,assume
رأيتها,her
الملازم,Lieutenant
لمعرفة,To know
تستخدم,used
يفعلون,They do
الأحمر,red
الكلمة,The word
صعبة,difficult
ذكر,male
تحديد,to set
خرج,out
ريد,Red
ابقى,Stay
التحقيق,Investigation
حركة,a movement
فيل,elephant
الفضاء,outer space
غاضب,angry
جوي,aerial
للخارج,Out
توقفت,I stopped
الثلج,the snow
جيده,Good
أتعتقد,Do you think?
علامة,sign
تقصدين,You mean
قديم,old
سيئاً,bad
اقوم,I do
لفعل,to do
موضوع,topic
الشاي,tea
آنا,I
أسئلة,Questions
الجثة,corpse
العلاج,Treatment
حادث,accident
أتساءل,I wonder
الغبي,stupid
محظوظ,lucky
لابأس,decent
القدر,fate
تستحق,You deserve it
احاول,I'm trying
الرأس,head
تحركوا,Move
الأمريكية,American
عليكَ,upon you
مفاجأة,a surprise
الفوضى,chaos
المطبخ,the kitchen
الجامعة,the university
صح,correct
متن,Text
محل,place
جدتي,my grandmother
تذهبي,You go
قليلة,Few
ذالك,That
وحتى,And even
النجوم,stars
قلقة,worried
دانيال,Daniel
بنفسه,By himself
لأنهم,Because they
ابنك,Your son
يقومون,They do
تحتاجين,You need
يُمكنني,I can
يعجبني,I like it
أسألك,I ask you
الفيديو,Video
جدي,serious
السحر,magic
تفضلي,Help yourself
شديد,intense
فسوف,So it will
الداخلية,Interior
أولاد,children
بأكمله,All of it
آلة,machine
نقول,We say
ثمّة,There
تعالى,Come here
تفقد,Check
النبيذ,wine
مكالمة,call
فعلنا,We did
تشارلز,Charles
إشارة,signal
الشكل,shape
مستوى,level
النهر,The river
قدر,amount
المراقبة,Monitoring
غادر,Leave
فمك,Your mouth
أغنية,song
حقيبة,luggage
ستقوم,You will
البيض,eggs
الغريب,The stranger
مكتبي,My office
قهوة,coffee
يهمني,I care
بأنّني,That I am
عضو,member
اسفة,sorry
موقف,position
أنحاء,parts
بأمر,By order
أكل,food
بطل,hero
كُنْتُ,I was
السنوات,years
وقالت,She said
بارد,cold
آتي,came
نفعله,We do it
الاسبوع,week
رأى,opinion
كتب,books
كيت,Kate
أغلق,close
تدفع,Pay
بالمنزل,At home
رؤيته,His vision
هيه,Hey
قصيرة,Short
أنّكِ,That you are
بأنهم,That they
قلبك,Your heart
الولد,The boy
الثلاثة,The three
تسمح,Allow
ذكي,tasty
أموت,I die
أطول,taller
إنقاذ,rescue
مقابلة,interview
افتح,Open
ولكننا,But we
مارتن,Martin
وسيلة,means
فـي,In
لاشيء,nothing
قادرة,Able
حي,alive
رأسه,His head
البريد,Mail
الليله,Tonight
جثة,body
مصدر,source
سفينة,boat
قديمة,old
أنّني,That I am
الحقيبة,The bag
نقل,transfer
عقلك,Your mind
ترتدي,wearing
ظٹط,ظٹط
ملايين,millions
كاثرين,Catherine
لعب,game
سريع,fast
الكلاب,dogs
أضع,I put
ليّ,for me
المحيط,ocean
مطعم,restaurant
إليكِ,Here you go
ليو,Leo
للجميع,For everyone
الوجه,face
بسهولة,easily
لون,color
الضابط,The officer
الاطفال,children
جعلت,Made
الصيف,summer
ماء,water
تمامًا,completely
اتصال,communication
يحمل,He carries
بسيطة,simple
زالت,It's gone
بربك,Please
لدرجة,To the point
سأحضر,I will attend
دم,blood
فلم,film
روح,spirit
أخبره,Tell him
مر,bitter
الكاميرا,camera
أخبرت,I told
وجهه,His face
أترك,I leave
شاهد,a witness
بصراحة,honestly
كذبت,I lied
كفاية,adequacy
غادرت,I left
قلتِ,I said
البرنامج,The program
الأسفل,lower
فإنه,It is
متجر,a store
يشبه,Similar
لانه,Because
جرى,It happened
كارتر,Carter
آسفه,sorry
مضت,It passed
إنتظري,Wait
وقتك,Your time
الجزيرة,Al Jazeera
مدة,period
أعتقدت,I believed
مسرح,stage
الكون,universe
قولي,Tell me
القرار,decision
كلهم,All of them
إسم,name
اول,first
يدخل,Enters
القدوم,Coming
لتلك,For those
رأيتك,I saw you
نيل,Nile
تقتل,kill
والان,And now
بفعل,By action
أمزح,I'm kidding
بعدما,After
البحرية,Navy
طفلة,child
الموافقة,consent
تجربة,an experience
قضيت,I spent
فائدة,benefit
مطلقاً,never
بقوة,strongly
انتهيت,I finished
هانا,Hannah
بعيدة,Far away
اتحدث,I speak
احصل,Get
بأكملها,Completely
سوء,ill
تخبريني,You tell me
تأكل,corrosion
الملكة,the queen
عينيك,Your eyes
وجدته,I found it
السهل,The plain
إنظر,Look
اخبرني,Tell me
نكن,We are not
اهدأ,calm
قابلت,I met
الخامسة,Fifth
مكانه,status
عنهم,About them
قاعدة,a base
مـاذا,What?
كانا,They were
يسمح,Allows
الاسم,the name
أمى,My mom
إياه,Him
أدنى,minimum
استمر,I continue
أتكلم,I speak
اريدك,I want you
سابق,former
مَنْ,from
تعرفون,You know
الفوز,Win
المطاف,The path
أدرك,realize
عادت,She came back
الهجوم,The attack
سوية,Together
ادخل,Enter
نعتقد,We believe
وأعتقد,I think
الفور,Immediately
نأخذ,We take
هـل,Is it
كأنه,As if
تسأل,You ask
الوحش,The monster
القارب,The boat
فظيع,terrible
فان,Van
جولة,round
تعنين,You mean
ستأتي,You will come
حادثة,incident
ننتظر,We are waiting
قاله,He said it
حالياً,currently
بيع,sale
ضمن,within
مريضة,sick
يتوقف,It stops
مرض,illness
اعطني,Give me
الجيدة,Good
ثق,Trust
اخبرك,I told you
الحقير,The despicable
والده,mother
ضربة,blow
اخرس,silent
تترك,leave
أرجو,I hope
لوحدي,Alone
انة,that it
تيد,Ted
جدّاً,very
سيارتك,Your car
يدفع,pays
التصوير,Photography
العلاقة,relationship
تريدون,You want
القاعدة,The base
أبعد,far
كلاهما,both of them
تبقي,Keep
تثق,Trust
الثقة,trust
جامعة,university
ضرب,to hit
الموقف,The position
كلام,speech
حياتها,Her life
ينجح,succeed
بقيت,I stayed
النووي,nuclear
تكونين,You are
عاما,years
غبية,stupid
ممتع,fun
السادسة,Sixth
جميعهم,All of them
سآخذ,I will take
ضغط,pressure
لوحة,board
كافية,Enough
انى,that I
أثر,effect
الطرق,Roads
أساعدك,I help you
سيقوم,Will do
وكالة,an agency
أنهُ,that it
للأسف,Unfortunately
جميعكم,All of you
القائمة,List
ويجب,And it must
حاضر,present
المساء,Evening
تصدق,Believe
تجعلني,Make me
القسم,Department
وجهة,Destination
وبين,And between
وقع,He fell
عنكِ,About you
المركز,The Center
تجاه,Towards
جينا,Gina
وحيدة,alone
كلمات,words
أرسلت,Sent
اعمل,Work
العامة,Public
للمساعدة,For help
التحقيقات,Investigations
بالدخول,By entering
نسخة,copy
آدم,Adam
شاحنة,a truck
فوراً,immediately
هاتفي,My phone
لايوجد,nothing
هانك,Hank
قرار,resolution
افهم,Understand
أنى,that I
الفرق,the difference
هنـا,Here
الشاطئ,beach
حَسَناً,Good
عالية,High
عذرا,Sorry
أناس,people
مفتاح,key
يسبق,precedes
ضابط,officer
مجددًا,again
غاية,very
الاثنين,Monday
ضوء,a light
بدلا,Instead
عنوان,address
الأموال,money
السوداء,black
آني,that I
الكذب,lying
أرض,land
ياإلهي,"Oh, my God"
جيسي,Jesse
الرابعة,Fourth
واثقة,confident
ماما,mama
ابقي,Stay
يُمكن,maybe
أسود,black
تقديم,presentation
نعيش,We live
بداخل,Inside
تحقيق,investigation
م,M
معجب,a fan
أه,Yes
اخذ,take
السبت,Saturday
سوزان,Susan
الكتب,books
الهرب,escape
لتناول,To eat
السيئة,bad
هذهِ,This is amazing
أحدكم,One of you
احضر,bring
ذاهبون,We are going
الرابع,Fourth
الحين,Now
النادي,The club
عمره,His age
يرتدي,He wears
الحد,limit
الجمعة,Friday
زوجها,Her husband
يرغب,desires
تحبين,You love
أهو,Is it him?
حلم,dream
المطعم,The restaurant
للنوم,to sleep
أهمية,importance
لَنْ,won't
مليئة,full
أعرفك,I know you
أردتُ,I wanted
يعنى,It means
محامي,lawyer
أتسائل,I wonder
الرقيب,Sergeant
الأكبر,The biggest
ابنة,daughter
المعركة,The battle
ولاية,state
جيّدة,Good
أصل,pedigreed
يستخدم,Used
جوش,Josh
المسرح,theater
آبي,my dad
ولدي,My son
الارض,the earth
بو,father
حظ,luck
الراحة,Comfort
تغادر,leave
المسؤول,responsible
تسمعني,You hear me
التفاصيل,the details
عمر,age
جميعًا,All
كسر,break
احبك,I love you
أسفة,sorry
نملك,We own
ممارسة,practice
ابحث,Search
مسبقاً,pre
هرب,to flee
الحانة,The pub
سريعاً,Quickly
سيصبح,It will become
ايتها,Oh
عملنا,Our work
لوسي,Lucy
أحيانا,sometimes
أذكر,I remember
المجيء,Coming
سيداتي,Ladies
تعطيني,give me
وأبوس,I kiss
أجلس,Sit
دع,Let
جيف,Jeff
البوابة,The Gate
آخرى,Other
جلبت,brought
الحفل,The party
لأجلك,For you
سجن,prison
تشاك,Chuck
فحص,to examine
بجد,seriously
مثله,Like him
يعتقدون,They think
السن,Age
لوقت,For a while
أنفسنا,ourselves
يظن,He thinks
هيئة,body
شهور,months
حالا,immediately
بالأسفل,Below
رجاءاً,Please
سقط,He fell
روس,Ross
اصبح,become
تأثير,impact
